Consume,JFSP Fuels Database,DataBaseInR,FOFEM
fuelbed_number,NA,NA,Unit
filename,NA,NA,NA
cover_type,NA,NA,NA
ecoregion,NA,NA,NA
overstory_loading,os_loading,os_loading_ta,NA
midstory_loading,ms_loading,ms_loading_ta,NA
understory_loading,us_loading,us_loading_ta,NA
NA,tree_loading,tree_loading_ta,NA
snags_c1_foliage_loading,snag_loading,snag_loading_ta,NA
snags_c1wo_foliage_loading,NA,NA,NA
snags_c1_wood_loading,NA,NA,NA
snags_c2_loading,NA,NA,NA
snags_c3_loading,NA,NA,NA
shrubs_primary_loading,shrub_loading,shrub_loading_ta,Shrub
shrubs_secondary_loading,NA,NA,NA
shrubs_primary_perc_live,NA,NA,NA
shrubs_secondary_perc_live,NA,NA,NA
nw_primary_loading,herb_loading,herb_loading_ta,Herb
nw_secondary_loading,NA,NA,NA
nw_primary_perc_live,herb_percentlive,herb_percentlive_,NA
nw_secondary_perc_live,NA,NA,NA
litter_depth,litter_depth,litter_depth_,NA
litter_loading,litter_loading,litter_loading_ta,Litter_tpa
lichen_depth,NA,NA,NA
lichen_loading,lichen_loading,lichen_loading_ta,NA
moss_depth,NA,NA,NA
moss_loading,moss_loading,moss_loading_ta,NA
basal_accum_loading,NA,NA,NA
squirrel_midden_loading,NA,NA,NA
ladderfuels_loading,NA,NA,NA
duff_upper_loading,duff_loading,duff_loading_ta,Duff_tpa
duff_lower_loading,NA,NA,NA
duff_upper_depth,duff_depth,duff_depth_,DuffDepth
duff_lower_depth,NA,NA,NA
w_sound_0_quarter_loading,1hr_loading,X1hr_loading_ta,1hr
w_sound_quarter_1_loading,10hr_loading,X10hr_loading_ta,10hr
w_sound_1_3_loading,100hr_loading,X100hr_loading_ta,100hr
w_sound_3_9_loading,1KhrS_loading,X1KhrS_loading_ta,Log
w_sound_9_20_loading,10KhrS_loading,X10KhrS_loading_ta,NA
w_sound_gt20_loading,GT10KhrS_loading,GT10KhrS_loading_ta,NA
w_rotten_3_9_loading,1KhrR_loading,X1KhrR_loading_ta,
w_rotten_9_20_loading,10KhrR_loading,X10KhrR_loading_ta,NA
w_rotten_gt20_loading,GT10KhrR_loading,GT10KhrR_loading_ta,NA
w_stump_sound_loading,NA,NA,NA
w_stump_rotten_loading,NA,NA,NA
w_stump_lightered_loading,NA,NA,NA
pile_clean_loading,NA,NA,NA
pile_dirty_loading,NA,NA,NA
pile_vdirty_loading,NA,NA,NA
Total_available_fuel_loading,NA,NA,NA
efg_natural,NA,NA,NA
efg_activity,NA,NA,NA
NA,NA,NA,10FM
NA,NA,NA,1000FM
NA,NA,NA,Distribution
NA,NA,NA,DuffFM
NA,NA,NA,Foliage
NA,NA,NA,Branch
NA,NA,NA,%Burn
NA,NA,NA,Region
NA,NA,NA,Group
NA,NA,NA,Season
NA,NA,NA,Category
